Car Make,Country ,Year,Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
McLaren,UK,2022.00,612.00,465.00,3.10,215500.00
Mercedes-AMG,Germany,2022.00,503.00,516.00,3.70,80900.00
Porsche,Germany,2021.00,300.00,280.00,4.90,59900.00
Rolls-Royce,UK,2021.00,624.00,605.00,4.30,330000.00
Chevrolet,USA,2021.00,455.00,455.00,4.00,40000.00
Ford,USA,2022.00,660.00,550.00,3.00,500000.00
Acura,USA,2022.00,573.00,476.00,2.70,157500.00
Aston Martin,UK,2021.00,630.00,516.00,3.70,209000.00
Bentley,UK,2022.00,542.00,568.00,3.90,202500.00
Bugatti,Other,2021.00,1500.00,1180.00,2.40,3000000.00
Dodge,USA,2022.00,717.00,656.00,3.50,67500.00
Jaguar,UK,2021.00,575.00,516.00,3.50,103200.00
Koenigsegg,Other,2022.00,1280.00,1106.00,2.50,2800000.00
Lexus,Japan,2021.00,471.00,398.00,4.40,92950.00
Lotus,UK,2021.00,416.00,317.00,3.80,104200.00
Maserati,Italy,2021.00,454.00,384.00,4.70,133050.00
McLaren,UK,2021.00,562.00,443.00,3.10,196350.00
Mercedes-Benz,Germany,2022.00,503.00,516.00,3.80,69900.00
Pagani,Italy,2021.00,791.00,774.00,2.70,2600000.00
Porsche,Germany,2022.00,414.00,309.00,4.20,102900.00
Rimac,Other,2022.00,1914.00,1696.00,1.85,2400000.00
Rolls-Royce,UK,2021.00,624.00,605.00,4.40,338000.00
Acura,USA,2022.00,573.00,476.00,2.70,157500.00
Aston Martin,UK,2021.00,503.00,505.00,3.50,150000.00
Bentley,UK,2021.00,626.00,664.00,3.60,218400.00
Dodge,USA,2021.00,797.00,707.00,3.50,73000.00
Jaguar,UK,2022.00,575.00,516.00,3.50,103200.00
Lexus,Japan,2021.00,471.00,398.00,4.40,92950.00
Lotus,UK,2021.00,416.00,317.00,3.80,104970.00
Maserati,Italy,2021.00,454.00,384.00,4.80,132400.00
Porsche,Germany,2021.00,414.00,309.00,4.20,101200.00
Alpine,Other,2021.00,288.00,236.00,4.40,71500.00
Audi,Germany,2021.00,591.00,590.00,3.50,114000.00
BMW,Germany,2021.00,473.00,406.00,4.10,71800.00
Chevrolet,USA,2021.00,650.00,650.00,3.50,64195.00
Dodge,USA,2017.00,645.00,600.00,3.30,118795.00
Ferrari,Italy,2021.00,591.00,560.00,3.50,218750.00
Jaguar,UK,2022.00,296.00,295.00,5.40,61600.00
Lamborghini,Italy,2021.00,770.00,531.00,2.80,517700.00
McLaren,UK,2021.00,592.00,457.00,2.80,240000.00
Aston Martin,UK,2021.00,630.00,516.00,3.50,221400.00
Bentley,UK,2021.00,626.00,664.00,3.60,202500.00
Bugatti,Other,2022.00,1500.00,1180.00,2.40,3000000.00
Dodge,USA,2021.00,717.00,656.00,3.50,64100.00
Jaguar,UK,2022.00,575.00,516.00,3.50,103200.00
Koenigsegg,Other,2022.00,1280.00,1015.00,2.50,2800000.00
Lexus,Japan,2021.00,471.00,398.00,4.40,92950.00
Lotus,UK,2021.00,416.00,317.00,3.80,100450.00
Maserati,Italy,2021.00,454.00,384.00,4.80,150980.00
McLaren,UK,2022.00,671.00,531.00,3.00,225000.00
Mercedes-AMG,Germany,2022.00,503.00,516.00,3.70,81550.00
Pagani,Italy,2021.00,764.00,738.00,2.80,3500000.00
Porsche,Germany,2021.00,414.00,309.00,4.20,102550.00
Rimac,Other,2022.00,1888.00,1696.00,1.80,2400000.00
Rolls-Royce,UK,2021.00,624.00,642.00,4.40,330000.00
Toyota,Japan,2022.00,382.00,368.00,3.90,43090.00
Acura,USA,2021.00,573.00,476.00,2.70,157500.00
Aston Martin,UK,2021.00,503.00,505.00,3.50,146000.00
Bentley,UK,2022.00,542.00,568.00,3.90,207825.00
Dodge,USA,2021.00,717.00,656.00,3.50,64195.00
Jaguar,UK,2022.00,380.00,339.00,4.80,62250.00
Lexus,Japan,2022.00,471.00,398.00,4.40,92000.00
Lotus,UK,2021.00,416.00,317.00,3.80,105000.00
Maserati,Italy,2022.00,454.00,384.00,4.70,134300.00
McLaren,UK,2022.00,562.00,443.00,2.90,204550.00
Porsche,Germany,2021.00,414.00,309.00,4.20,102000.00
Tesla,USA,2021.00,1020.00,1050.00,1.90,141190.00
Audi,Germany,2021.00,444.00,443.00,3.50,75100.00
BMW,Germany,2022.00,405.00,406.00,4.00,59895.00
Chevrolet,USA,2021.00,650.00,650.00,3.50,64995.00
Dodge,USA,2017.00,645.00,600.00,3.30,126190.00
Ford,USA,2021.00,660.00,550.00,2.90,500000.00
Porsche,Germany,2022.00,482.00,472.00,3.80,102900.00
Lamborghini,Italy,2021.00,730.00,509.00,2.90,417650.00
Aston Martin,UK,2021.00,630.00,516.00,3.50,205000.00
Alfa Romeo,Italy,2022.00,505.00,443.00,3.80,81250.00
Audi,Germany,2022.00,591.00,590.00,3.50,115045.00
BMW,Germany,2021.00,503.00,479.00,3.90,75695.00
Chevrolet,USA,2022.00,455.00,455.00,4.10,42000.00
Dodge,USA,2021.00,717.00,650.00,3.60,71490.00
Ferrari,Italy,2021.00,710.00,568.00,2.90,274280.00
Ford,USA,2021.00,660.00,550.00,2.80,500000.00
Jaguar,UK,2021.00,575.00,516.00,3.50,103200.00
Koenigsegg,Other,2022.00,1600.00,1106.00,2.10,2800000.00
Lexus,Japan,2021.00,471.00,398.00,4.40,93050.00
Lotus,UK,2022.00,1973.00,1254.00,2.50,2750000.00
McLaren,UK,2022.00,612.00,465.00,3.20,210000.00
Mercedes-Benz,Germany,2021.00,720.00,590.00,3.20,326050.00
Porsche,Germany,2021.00,414.00,309.00,4.20,102500.00
Lamborghini,Italy,2021.00,770.00,531.00,2.80,417650.00
Ferrari,Italy,2021.00,591.00,560.00,3.30,218750.00
Audi,Germany,2022.00,394.00,354.00,3.60,69000.00
McLaren,UK,2021.00,592.00,457.00,2.80,256500.00
BMW,Germany,2022.00,473.00,406.00,4.10,72800.00
Mercedes-Benz,Germany,2022.00,503.00,516.00,3.80,70000.00
Chevrolet,USA,2021.00,455.00,455.00,4.00,44500.00
Ford,USA,2021.00,480.00,420.00,4.00,51000.00
Nissan,Japan,2021.00,350.00,276.00,5.20,45000.00
Aston Martin,UK,2021.00,503.00,505.00,3.50,146000.00
Bugatti,Other,2022.00,1500.00,1180.00,2.40,3000000.00
Koenigsegg,Other,2021.00,1262.00,1106.00,2.50,3000000.00
Pagani,Italy,2021.00,764.00,738.00,2.60,2600000.00
McLaren,UK,2021.00,1035.00,848.00,2.50,2300000.00
Lamborghini,Italy,2021.00,819.00,531.00,2.80,3600000.00
Rimac,Other,2021.00,1914.00,1732.00,1.80,2400000.00
Porsche,Germany,2022.00,300.00,280.00,4.90,59900.00
Lamborghini,Italy,2021.00,770.00,531.00,2.80,393695.00
Ferrari,Italy,2021.00,591.00,413.00,3.50,215000.00
Audi,Germany,2022.00,444.00,443.00,3.70,75100.00
McLaren,UK,2021.00,620.00,465.00,3.10,210000.00
BMW,Germany,2022.00,382.00,369.00,4.30,63700.00
Mercedes-Benz,Germany,2020.00,385.00,384.00,4.60,62000.00
Chevrolet,USA,2022.00,455.00,455.00,4.30,42500.00
Ford,USA,2022.00,460.00,420.00,4.30,36120.00
Nissan,Japan,2020.00,350.00,276.00,4.60,45790.00
Aston Martin,UK,2022.00,503.00,505.00,3.60,146000.00
Bentley,UK,2021.00,626.00,664.00,3.30,220000.00
Porsche,Germany,2022.00,300.00,280.00,4.90,62000.00
Lamborghini,Italy,2021.00,641.00,627.00,3.60,222004.00
Ferrari,Italy,2021.00,710.00,568.00,2.90,280000.00
Audi,Germany,2022.00,394.00,354.00,3.60,69900.00
McLaren,UK,2021.00,562.00,443.00,2.90,208800.00
BMW,Germany,2022.00,473.00,406.00,4.00,72800.00
Porsche,Germany,2022.00,300.00,280.00,4.90,60500.00
Lamborghini,Italy,2021.00,730.00,509.00,2.90,393695.00
Ferrari,Italy,2022.00,986.00,590.00,2.50,625000.00
Audi,Germany,2022.00,444.00,443.00,3.70,75100.00
McLaren,UK,2021.00,612.00,465.00,3.20,208800.00
BMW,Germany,2022.00,405.00,406.00,4.00,58900.00
Mercedes-Benz,Germany,2015.00,622.00,468.00,3.60,229000.00
Chevrolet,USA,2021.00,650.00,650.00,3.50,62000.00
Ford,USA,2022.00,660.00,550.00,3.00,500000.00
Nissan,Japan,2020.00,350.00,276.00,5.20,46200.00
Dodge,USA,2021.00,717.00,656.00,3.60,71000.00
Aston Martin,UK,2021.00,715.00,663.00,3.20,308000.00
Alfa Romeo,Italy,2022.00,505.00,443.00,3.80,80500.00
Jaguar,UK,2021.00,575.00,516.00,3.50,105900.00
Lotus,UK,2020.00,416.00,317.00,3.80,96950.00
Maserati,Italy,2019.00,454.00,384.00,4.70,150980.00
Porsche,Germany,2022.00,630.00,604.00,2.90,180800.00
Lamborghini,Italy,2021.00,641.00,627.00,3.20,218000.00
Aston Martin,UK,2021.00,503.00,505.00,3.50,146000.00
Lotus,UK,2021.00,416.00,317.00,3.80,94000.00
Alfa Romeo,Italy,2020.00,237.00,258.00,4.10,67150.00
Jaguar,UK,2022.00,380.00,339.00,4.90,70900.00
Maserati,Italy,2021.00,454.00,384.00,4.70,134300.00
Porsche,Germany,2021.00,414.00,309.00,4.20,100200.00
Audi,Germany,2022.00,444.00,443.00,3.70,76450.00
BMW,Germany,2021.00,405.00,406.00,4.00,58900.00
Chevrolet,USA,2022.00,650.00,650.00,3.50,64000.00
Dodge,USA,2022.00,717.00,656.00,3.50,61500.00
Ford,USA,2021.00,647.00,550.00,2.80,500000.00
Lexus,Japan,2022.00,471.00,398.00,4.40,92950.00
McLaren,UK,2022.00,562.00,443.00,3.10,198950.00
Mercedes-AMG,Germany,2021.00,503.00,516.00,3.70,77950.00
Nissan,Japan,2021.00,350.00,276.00,4.90,45790.00
Porsche,Germany,2021.00,300.00,280.00,4.90,62000.00
Lamborghini,Italy,2021.00,729.00,507.00,2.90,417826.00
Ferrari,Italy,2021.00,710.00,568.00,2.90,274280.00
Audi,Germany,2021.00,394.00,354.00,3.60,67600.00
BMW,Germany,2021.00,473.00,406.00,3.80,71800.00
Acura,USA,2021.00,573.00,476.00,2.70,159495.00
Aston Martin,UK,2022.00,715.00,664.00,3.40,314500.00
Bentley,UK,2022.00,626.00,664.00,3.30,214425.00
Bugatti,Other,2022.00,1500.00,1180.00,2.30,3000000.00
Dodge,USA,2022.00,717.00,656.00,3.50,71490.00
Jaguar,UK,2021.00,575.00,516.00,3.50,105900.00
Koenigsegg,Other,2021.00,1280.00,1106.00,2.50,2800000.00
Lexus,Japan,2021.00,471.00,398.00,4.40,92950.00
Lotus,UK,2021.00,416.00,317.00,3.80,104400.00
Maserati,Italy,2022.00,454.00,384.00,4.70,150980.00
McLaren,UK,2022.00,671.00,531.00,3.00,225000.00
Pagani,Italy,2021.00,764.00,738.00,2.60,2600000.00
Porsche,Germany,2022.00,414.00,309.00,4.20,102000.00
Rimac,Other,2021.00,1914.00,1696.00,1.90,2400000.00
Rolls-Royce,UK,2021.00,624.00,605.00,4.40,335550.00
Tesla,USA,2021.00,1020.00,1050.00,1.90,141990.00
Toyota,Japan,2022.00,382.00,368.00,3.90,43090.00
TVR,UK,2021.00,500.00,420.00,3.90,157500.00
Ultima,UK,2021.00,1200.00,1300.00,2.30,220000.00
W Motors,Other,2022.00,800.00,723.00,2.70,1550000.00
Acura,USA,2021.00,573.00,476.00,2.90,157500.00
Aston Martin,UK,2022.00,715.00,663.00,3.20,308000.00
Bentley,UK,2021.00,626.00,664.00,3.60,202500.00
Bugatti,Other,2021.00,1500.00,1180.00,2.30,3000000.00
Dodge,USA,2021.00,717.00,656.00,3.50,65000.00
Jaguar,UK,2021.00,380.00,339.00,4.90,63100.00
Lexus,Japan,2021.00,471.00,398.00,4.40,92950.00
Lotus,UK,2022.00,1973.00,1254.00,2.50,2600000.00
Maserati,Italy,2021.00,454.00,384.00,4.80,134300.00
Porsche,Germany,2021.00,616.00,774.00,2.60,185000.00
Rimac,Other,2022.00,1914.00,1696.00,1.90,2400000.00
Tesla,USA,2022.00,1020.00,1050.00,1.98,140000.00
McLaren,UK,2022.00,671.00,531.00,3.00,225000.00
Mercedes-Benz,Germany,2021.00,720.00,590.00,3.10,325000.00
Chevrolet,USA,2021.00,650.00,650.00,3.50,63000.00
Ford,USA,2021.00,647.00,550.00,3.00,500000.00
Aston Martin,UK,2021.00,715.00,664.00,3.40,307820.00
Jaguar,UK,2022.00,575.00,516.00,3.50,103200.00
Dodge,USA,2021.00,797.00,707.00,3.50,80190.00
Lotus,UK,2022.00,416.00,317.00,3.80,105000.00
Alfa Romeo,Italy,2020.00,237.00,258.00,4.10,68745.00
Subaru,Japan,2022.00,310.00,290.00,5.20,38170.00
Acura,USA,2022.00,573.00,476.00,2.70,157500.00
Koenigsegg,Other,2021.00,1280.00,1015.00,2.50,2800000.00
Tesla,USA,2022.00,1020.00,1050.00,1.98,139990.00
Bugatti,Other,2022.00,1578.00,1180.00,2.30,5200000.00
McLaren,UK,2020.00,789.00,590.00,2.70,1500000.00
Porsche,Germany,2022.00,750.00,774.00,2.60,185000.00
Mercedes-Benz,Germany,2014.00,622.00,468.00,3.50,275000.00
Lexus,Japan,2022.00,471.00,398.00,4.40,93050.00
Chevrolet,USA,2022.00,650.00,650.00,3.50,65000.00
Audi,Germany,2022.00,591.00,590.00,3.50,114000.00
Ford,USA,2022.00,660.00,550.00,3.00,500000.00
BMW,Germany,2022.00,444.00,406.00,3.80,84595.00
Porsche,Germany,2022.00,414.00,309.00,4.20,102550.00
Lamborghini,Italy,2022.00,770.00,531.00,2.80,393695.00
Aston Martin,UK,2021.00,503.00,505.00,3.60,146000.00
Lotus,UK,2021.00,416.00,317.00,3.80,96950.00
Porsche,Germany,2021.00,620.00,604.00,2.90,180000.00
Lamborghini,Italy,2022.00,729.00,507.00,2.90,460247.00
Ferrari,Italy,2021.00,986.00,590.00,2.50,625000.00
Audi,Germany,2022.00,591.00,590.00,3.10,110045.00
McLaren,UK,2021.00,562.00,443.00,3.10,192500.00
BMW,Germany,2022.00,600.00,553.00,3.20,103500.00
Mercedes-Benz,Germany,2021.00,503.00,516.00,3.70,77400.00
Chevrolet,USA,2021.00,650.00,650.00,3.50,64695.00
Dodge,USA,2021.00,717.00,656.00,3.50,64195.00
Ford,USA,2021.00,660.00,550.00,3.00,500000.00
Nissan,Japan,2020.00,350.00,276.00,5.00,46815.00
Porsche,Germany,2021.00,414.00,309.00,4.20,102550.00
Audi,Germany,2021.00,394.00,354.00,3.60,67895.00
Chevrolet,USA,2023.00,625.00,650.00,2.60,85000.00
Lamborghini,Italy,2022.00,641.00,626.00,3.20,218009.00
Mercedes-Benz,Germany,2021.00,630.00,664.00,3.10,162900.00
Ferrari,Italy,2022.00,612.00,560.00,3.50,245000.00
Bugatti,Other,2021.00,1479.00,1180.00,2.50,3000000.00
Aston Martin,UK,2021.00,715.00,664.00,3.40,304995.00
Lotus,UK,2021.00,416.00,317.00,3.80,100450.00
Porsche,Germany,2022.00,414.00,309.00,4.20,100200.00
Acura,USA,2021.00,573.00,476.00,2.70,157500.00
Lexus,Japan,2021.00,471.00,398.00,4.40,92950.00
Alfa Romeo,Italy,2021.00,505.00,443.00,3.80,74750.00
Audi,Germany,2021.00,591.00,590.00,3.50,114000.00
Bentley,UK,2021.00,626.00,664.00,3.30,218400.00
BMW,Germany,2021.00,600.00,553.00,3.20,103500.00
Chevrolet,USA,2021.00,650.00,650.00,3.50,64695.00
Dodge,USA,2021.00,717.00,656.00,3.50,70595.00
Ford,USA,2022.00,647.00,550.00,3.00,500000.00
Jaguar,UK,2021.00,575.00,516.00,3.50,103200.00
Lamborghini,Italy,2021.00,730.00,509.00,2.90,393695.00
McLaren,UK,2021.00,562.00,443.00,3.10,203500.00
Mercedes-Benz,Germany,2015.00,583.00,479.00,3.60,221580.00
Nissan,Japan,2020.00,350.00,276.00,4.70,47190.00
Porsche,Germany,2021.00,300.00,280.00,4.90,62000.00
Porsche,Germany,2022.00,300.00,280.00,4.90,61500.00
Lamborghini,Italy,2021.00,759.00,531.00,2.90,393695.00
Ferrari,Italy,2021.00,612.00,561.00,3.30,222630.00
Audi,Germany,2022.00,444.00,442.00,3.50,75400.00
McLaren,UK,2020.00,562.00,443.00,3.10,208000.00
BMW,Germany,2022.00,405.00,406.00,4.20,58900.00
Mercedes-Benz,Germany,2022.00,429.00,384.00,4.90,96250.00
Chevrolet,USA,2021.00,455.00,455.00,4.00,25000.00
Ford,USA,2022.00,660.00,550.00,3.00,500000.00
Nissan,Japan,2021.00,350.00,276.00,5.00,45000.00
Aston Martin,UK,2021.00,715.00,664.00,3.40,307820.00
Lotus,UK,2021.00,416.00,317.00,3.80,100450.00
Maserati,Italy,2021.00,454.00,384.00,4.70,134300.00
Porsche,Germany,2022.00,325.00,331.00,5.20,88550.00
Lamborghini,Italy,2021.00,641.00,627.00,3.60,218009.00
Ferrari,Italy,2021.00,986.00,590.00,2.50,625000.00
Audi,Germany,2022.00,591.00,590.00,3.50,109000.00
McLaren,UK,2022.00,671.00,531.00,3.00,225000.00
Porsche,Germany,2021.00,429.00,472.00,3.80,103800.00
Lamborghini,Italy,2021.00,730.00,509.00,2.90,417650.00
Ferrari,Italy,2021.00,986.00,590.00,2.50,625000.00
Audi,Germany,2022.00,591.00,590.00,3.50,117000.00
McLaren,UK,2021.00,562.00,443.00,3.10,192500.00
BMW,Germany,2021.00,473.00,406.00,4.00,72800.00
Mercedes-Benz,Germany,2015.00,622.00,468.00,3.50,228000.00
Chevrolet,USA,2021.00,455.00,455.00,4.00,42000.00
Ford,USA,2021.00,660.00,550.00,3.00,500000.00
Nissan,Japan,2021.00,350.00,276.00,5.00,48000.00
Aston Martin,UK,2021.00,715.00,664.00,3.20,307820.00
Lexus,Japan,2021.00,471.00,398.00,4.40,93000.00
Bentley,UK,2021.00,626.00,664.00,3.30,202500.00
Maserati,Italy,2021.00,454.00,384.00,4.70,150980.00
Tesla,USA,2022.00,1020.00,1050.00,1.98,131190.00
Rolls-Royce,UK,2021.00,563.00,605.00,4.30,346300.00
Bugatti,Other,2021.00,1500.00,1180.00,2.30,3599000.00
McLaren,UK,2019.00,789.00,590.00,2.70,1050000.00
Porsche,Germany,2021.00,690.00,641.00,3.00,186350.00
Acura,USA,2021.00,573.00,476.00,2.70,157500.00
Aston Martin,UK,2021.00,503.00,498.00,3.70,205600.00
Audi,Germany,2021.00,591.00,590.00,3.50,114000.00
Bentley,UK,2021.00,626.00,664.00,3.60,201000.00
Bugatti,Other,2021.00,1500.00,1180.00,2.50,3000000.00
Chevrolet,USA,2022.00,650.00,650.00,3.50,67000.00
Dodge,USA,2021.00,717.00,656.00,3.50,64000.00
Ferrari,Italy,2021.00,789.00,530.00,2.80,340000.00
Lamborghini,Italy,2021.00,770.00,531.00,2.80,517770.00
McLaren,UK,2021.00,592.00,457.00,2.80,256500.00
Mercedes-AMG,Germany,2021.00,720.00,590.00,3.10,325000.00
Nissan,Japan,2023.00,400.00,350.00,4.00,40000.00
Porsche,Germany,2021.00,414.00,309.00,4.20,101000.00
Rimac,Other,2021.00,1914.00,1696.00,1.90,2400000.00
Rolls-Royce,UK,2021.00,624.00,605.00,4.40,330000.00
Toyota,Japan,2021.00,382.00,368.00,3.90,43000.00
Porsche,Germany,2021.00,300.00,280.00,4.90,62000.00
Porsche,Germany,2022.00,300.00,280.00,4.90,62000.00
Lamborghini,Italy,2021.00,730.00,509.00,2.90,417826.00
Ferrari,Italy,2022.00,986.00,590.00,2.50,625000.00
Audi,Germany,2022.00,591.00,590.00,3.50,114000.00
McLaren,UK,2021.00,671.00,531.00,3.00,225000.00
BMW,Germany,2022.00,405.00,406.00,4.10,58900.00
Mercedes-Benz,Germany,2015.00,583.00,479.00,3.60,221580.00
Chevrolet,USA,2021.00,650.00,650.00,3.50,64695.00
Ford,USA,2022.00,647.00,550.00,3.00,500000.00
Nissan,Japan,2021.00,350.00,276.00,4.80,45000.00
Dodge,USA,2021.00,707.00,650.00,3.60,69995.00
Aston Martin,UK,2021.00,715.00,663.00,3.20,305000.00
Alfa Romeo,Italy,2021.00,505.00,443.00,3.80,75000.00
Audi,Germany,2021.00,394.00,354.00,3.60,68000.00
Bentley,UK,2021.00,626.00,664.00,3.60,203825.00
BMW,Germany,2022.00,600.00,553.00,3.20,103500.00
Chevrolet,USA,2021.00,495.00,470.00,2.90,58900.00
Dodge,USA,2021.00,717.00,656.00,3.50,63000.00
Ford,USA,2022.00,460.00,420.00,4.00,45000.00
Porsche,Germany,2022.00,300.00,280.00,4.90,59900.00
Lamborghini,Italy,2021.00,770.00,531.00,2.80,417826.00
Ferrari,Italy,2022.00,612.00,560.00,3.30,222630.00
Audi,Germany,2022.00,591.00,590.00,3.50,114000.00
McLaren,UK,2021.00,562.00,443.00,2.70,204995.00
BMW,Germany,2022.00,473.00,406.00,4.10,71800.00
